"acc_num","ph_num","ph_k_date","mon_data","data_plan_m8","disc_m8","mon_sms","mon_voice","serv_tick_m1to6","serv_tick_m7to8","data_roam","long_d_min","long_d_spend","total_pay","churn","Sample"
663698,3448979758,NA,3.21717099677327,"10GB($65)",0,528.26268091109,589.917837318269,0.525958222590981,0.0922758096979739,1,14.1207550235483,1.33407369048682,67.9241899836964,0,"Estimation"
832409,6349394395,NA,7.50540078929549,"10GB($65)",0,1056.8849802418,229.296185271492,0.814993265282928,0.214096675390206,0,29.0567452827399,1.57285506119947,67.2197142981899,NA,"Holdout"
208363,8517211379,NA,7.90508764403805,"10GB($65)",5,668.331166504645,181.84378855425,0.145745863902732,0.244603367626371,1,32.5880380709953,1.84835334156577,62.7433170083606,0,"Estimation"
371650,4602328934,2017-08-22,3.07898278704701,"10GB($65)",5,1137.74063543969,119.64586474446,0.450426124713201,0.0768962022400802,1,7.63634533391601,0.757558824265662,61.3485320178991,0,"Estimation"
810966,4443843678,2016-05-06,3.4800116034603,"10GB($65)",5,392.152485703951,202.123766434492,0.0249031310179233,0.0319345960936694,1,57.423392296157,5.03366382803785,66.0600833604386,0,"Validation"
555091,8111946637,NA,2.71320740421401,"10GB($65)",5,1005.31029734538,91.7402349788449,0.173758976011232,0.0218599756864593,1,48.9493257214235,3.98588443110045,67.1069277134696,0,"Validation"
623008,3692955976,2019-03-28,2.35782786164545,"10GB($65)",5,41.378844085386,128.054600879278,0.176768161379474,0.1251302559257,0,25.9980139558739,1.32377715176513,62.4264599222801,0,"Estimation"
283758,8919527317,2017-11-05,4.20097382379721,"10GB($65)",5,897.155324668205,431.175681686348,0.136396802410093,0.0343195909342241,0,37.8630592231973,3.28924726303781,63.729065413928,0,"Estimation"
580692,8876966357,2019-07-18,3.345269923025,"10GB($65)",5,291.266691331259,375.276707380671,0.348963043274368,0.195091748981765,0,19.0798913692476,1.5496202637979,62.95952893894,0,"Estimation"
149572,7604671844,2019-06-23,2.25043703206627,"10GB($65)",10,706.614601741541,170.24720898767,0.647774717628497,0.0934536991432298,2,78.650743713794,5.97892307969316,62.2102635135616,NA,"Holdout"
149572,4712724913,NA,2.72413929603688,"10GB($65)",0,611.601513781473,360.72077472776,0.281436363451356,0.159785254590185,0,23.7808530149361,1.47532144937799,66.6998575561427,0,"Estimation"
859449,4676367840,NA,1.78224215871619,"10GB($65)",10,472.233500606896,517.613543834537,0.144588489684776,0.0592110060085973,2,148.545928870401,7.49680492973731,64.5104006769029,0,"Validation"
385716,8686495734,2018-07-27,8.84681048091933,"15GB($80)",15,715.980157466632,356.742712253055,0.092243121175586,0.462013984777247,0,0.821083369084342,1.68891685564825,69.3449392588584,0,"Validation"
349857,8746344292,NA,3.4464915944568,"10GB($65)",10,927.756094911678,101.142971029643,0.334222052922877,0.014131555058673,0,4.75487010449217,1.78481752186376,58.4877677098527,NA,"Holdout"
651126,5751676568,2019-07-18,2.47655157901399,"10GB($65)",10,811.447228784247,366.866652924203,0.0482463625066712,0.302142493649994,1,17.9719860954448,2.78238000842576,59.1013279317994,NA,"Holdout"
463483,5620975088,2018-08-10,3.16423415204409,"10GB($65)",0,541.154894580551,413.593979079125,0.452064396278899,0.303068359982529,1,60.3888880957208,3.87705880075348,70.1792175228612,0,"Estimation"
331619,2468762427,2019-07-19,2.33168926526991,"10GB($65)",10,318.248296508103,284.54133363788,1.41775796526125,0.332981425518147,4,124.285668229294,6.31261020429312,64.9661311536328,0,"Estimation"
356458,3868362960,2018-05-18,2.67679777344955,"10GB($65)",10,349.717523894162,573.314527964014,0.0779251590706001,0.262185720021895,4,39.8932277871394,3.06497418484684,63.633450330832,0,"Validation"
832409,8048802615,NA,2.87463771814444,"10GB($65)",0,1141.60571977054,40.213424421292,0.260428721107185,0.0275434684144522,2,6.33741769531681,2.41054832832322,70.3271142698624,NA,"Holdout"
377575,9153481289,2019-05-26,2.06080301889314,"10GB($65)",0,1094.17980064616,148.84914458653,0.056932597518272,0.269161110677125,1,63.4892478012808,4.69988446064982,70.4643288320557,0,"Estimation"
930857,7669222333,2019-02-25,7.90361246945197,"15GB($80)",5,428.939047530152,491.17729061722,0.0221482937631893,0.15349272084405,0,9.51763334413785,1.59491364112333,77.1827147748017,0,"Validation"
16878,1714936447,2019-02-12,8.19136540842122,"10GB($65)",10,449.31872267085,150.652594384732,0.113645129159775,0.0959040738758706,1,78.6768691740969,5.51864915582066,62.3736137324248,NA,"Holdout"
837013,9787732408,2019-06-10,2.31451049789292,"10GB($65)",5,883.964652238674,861.880565196908,0.106153298520562,0.239925668302013,2,4.26469604446758,1.37831115413158,63.0396981284737,NA,"Holdout"
486842,7233153693,2019-07-16,2.80125970612281,"10GB($65)",5,601.263334100151,89.9519756858809,0.601025391672491,0.0888253614795254,1,15.023571310514,1.61254797016708,63.3237918185597,0,"Validation"
25076,9382323019,NA,8.50122477575507,"15GB($80)",0,1001.50522682658,603.667668862293,0.00158382716747901,0.0219666445826858,3,45.9131603132484,4.10594500269945,86.8077149888189,NA,"Holdout"
366163,8829112221,2016-08-04,7.73055125398454,"15GB($80)",10,603.434502022894,543.78965569287,0.566823296765622,0.593134283080753,4,151.538187737901,7.5823733367387,80.0057244145986,0,"Validation"
507808,4444781808,2019-06-20,2.25504447928067,"10GB($65)",5,779.996667630051,273.159697597395,0.134346512709035,0.402741969957614,4,74.5351298139173,6.21089596845607,69.6929440669303,0,"Validation"
